시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
안성시,평촌.동신초교,"Pyeongchon, Dongsin Elementary School",231000281,34332,노변정류장,경기도 안성시,경기도 안성시 보개면,37.01355,127.3071167
안성시,평촌.동신초교,"Pyeongchon, Dongsin Elementary School",231000280,34331,노변정류장,경기도 안성시,경기도 안성시 보개면,37.01375,127.3069667
안성시,평촌마을,Pyeongchon Maeul,231000022,33702,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.07375,127.2579667
안성시,평촌마을,Pyeongchon Maeul ,231000045,33097,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0738667,127.2577
안성시,품곡마을,Pumgok Maeul,231000531,33252,노변정류장,경기도 안성시,경기도 안성시 삼죽면,37.0917833,127.3722833
안성시,풍정.남풍리,"Pungjeong, Nampung-ri",231000497,34333,노변정류장,경기도 안성시,경기도 안성시 보개면,37.0792833,127.3073667
안성시,풍정.남풍리,"Pungjeong, Nampung-ri",231000506,34334,노변정류장,경기도 안성시,경기도 안성시 보개면,37.0791167,127.30765
안성시,필산리,Pilsan-ri,231000749,33490,노변정류장,경기도 안성시,경기도 안성시 양성면,37.05485,127.2170667
안성시,하가,Haga,231001234,34658,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0893833,127.2544833
안성시,하가,Haga,231001235,34661,노변정류장,경기도 안성시,경기도 안성시 고삼면,37.0893333,127.25445
안성시,하개정,Hagaejeong,231000975,34060,노변정류장,경기도 안성시,경기도 안성시 미양면,36.96445,127.1822833
안성시,하나로마트,Hanaro Mart,231000304,33133,노변정류장,경기도 안성시,경기도 안성시 석정동,37.0073,127.2663333
안성시,하나로마트,Hanaro Mart,231001358,34715,노변정류장,경기도 안성시,경기도 안성시 석정동,37.0070667,127.2663167
안성시,하나로마트앞,Hanaro Mart,231001088,33595,노변정류장,경기도 안성시,경기도 안성시 석정동,37.0076833,127.26595
안성시,하남,Hanam,231000334,34390,노변정류장,경기도 안성시,경기도 안성시 보개면,37.07205,127.3200333
안성시,하늘모퉁이,Haneul Motungi,231000601,33552,노변정류장,경기도 안성시,경기도 안성시 금광면,36.9901667,127.3303333
안성시,하늘모퉁이,Haneul Motungi,231000600,33553,노변정류장,경기도 안성시,경기도 안성시 금광면,36.99025,127.3305667
안성시,하덕,Hadeok,231000529,33255,노변정류장,경기도 안성시,경기도 안성시 삼죽면,37.0850333,127.3749167
안성시,하덕,Hadeok,231000530,33256,노변정류장,경기도 안성시,경기도 안성시 삼죽면,37.0849667,127.3747167
안성시,하동,Ha-dong,231000965,33695,노변정류장,경기도 안성시,경기도 안성시 금광면,36.9669,127.3340333
안성시,하동,Ha-dong,231000964,34442,노변정류장,경기도 안성시,경기도 안성시 금광면,36.96695,127.33415
안성시,하룩동,Haruk-dong,231000450,34452,노변정류장,경기도 안성시,경기도 안성시 금광면,36.9835167,127.3434
안성시,하룩동,Haruk-dong,231000455,34451,노변정류장,경기도 안성시,경기도 안성시 금광면,36.98345,127.3432
안성시,하북산,Habuksan Mountain,231000219,34263,노변정류장,경기도 안성시,경기도 안성시 서운면,36.9314167,127.2627667
안성시,하북산,Habuksan,231000225,34264,노변정류장,경기도 안성시,경기도 안성시 서운면,36.9315833,127.2627
