기준일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
2022-05-16,장하,43204,169000204,강화군,양도면,151638.1806,126.4527475,461386.4179,37.65358216
2022-05-16,장화교회앞,43121,169000121,강화군,화도면,145526.7901,126.3837713,457700.1559,37.62002923
2022-05-16,장화교회앞,43539,169000539,강화군,화도면,145536.6571,126.3838825,457706.9854,37.62009135
2022-05-16,장화리학생수련원,43474,169000474,강화군,화도면,145336.8517,126.3815747,458305.6839,37.62547332
2022-05-16,장화리학생수련원,43426,169000426,강화군,화도면,145325.2217,126.3814432,458302.7223,37.62544594
2022-05-16,장흥낚시터,43890,169000890,강화군,길상면,156840.2327,126.5119307,457407.3307,37.61799226
2022-05-16,장흥낚시터,43211,169000211,강화군,길상면,156826.4474,126.5117747,457404.9862,37.61797049
2022-05-16,장흥리종점,43643,169000643,강화군,길상면,157295.4289,126.5171434,456433.0857,37.60923609
2022-05-16,장흥리종점,43888,169000888,강화군,길상면,157301.7919,126.517214,456457.5765,37.60945704
2022-05-16,장흥매점,43641,169000641,강화군,길상면,156732.1277,126.5106965,457572.5201,37.61947545
2022-05-16,장흥매점,43891,169000891,강화군,길상면,156642.0096,126.5096934,457276.6459,37.61680553
2022-05-16,장흥삼거리,43881,169000881,강화군,길상면,157610.4454,126.5206805,456956.8841,37.61396984
2022-05-16,장흥삼거리,43153,169000153,강화군,길상면,157597.9572,126.5205392,456955.4134,37.61395601
2022-05-16,장흥저수지(성공회.해든뮤지움),90082,169001082,강화군,길상면,156667.7611,126.5099439,457969.6551,37.62305039
2022-05-16,장흥저수지(성공회.해든뮤지움),90081,169001081,강화군,길상면,156524.6594,126.5083212,457999.5172,37.62331267
2022-05-16,재능대송도캠퍼스,38622,164000624,연수구,송도3동,169945.5672,126.6614958,429833.6986,37.3700808
2022-05-16,재능대송도캠퍼스,38623,164000625,연수구,송도3동,169935.0168,126.6613777,429808.3775,37.36985232
2022-05-16,재활용품수집장,43224,169000224,강화군,불은면,153763.0062,126.4765768,465302.3029,37.68897127
2022-05-16,재활용품수집장,43165,169000165,강화군,불은면,153756.0481,126.4764985,465292.5245,37.68888282
2022-05-16,재흥시장,37293,163000293,미추홀구,주안4동,171617.5072,126.6800162,439043.6728,37.45311525
